Ano;Mes;Num_Mes;Divisas
2002;Enero;1;83.155736
2002;Febrero;2;96.65938992
2002;Marzo;3;109.0337363
2002;Abril;4;139.2119906
2002;Mayo;5;89.75173543
2002;Junio;6;127.976322
2002;Julio;7;136.5253673
2002;Agosto;8;162.3078991
2002;Septiembre;9;157.3387735
2002;Octubre;10;176.2608116
2002;Noviembre;11;142.9758338
2002;Diciembre;12;158.1942813
2003;Enero;1;164.7565524
2003;Febrero;2;144.7434142
2003;Marzo;3;160.7781074
2003;Abril;4;181.0873311
2003;Mayo;5;187.3763351
2003;Junio;6;161.494571
2003;Julio;7;191.95433
2003;Agosto;8;178.913196
2003;Septiembre;9;176.5509666
2003;Octubre;10;189.880921
2003;Noviembre;11;173.3756274
2003;Diciembre;12;195.5934013
2004;Enero;1;194.7440166
2004;Febrero;2;183.7388576
2004;Marzo;3;227.8954465
2004;Abril;4;204.0131928
2004;Mayo;5;210.7803909
2004;Junio;6;212.1297673
2004;Julio;7;206.612929
2004;Agosto;8;212.7817409
2004;Septiembre;9;211.777249
2004;Octubre;10;218.0265924
2004;Noviembre;11;236.7077182
2004;Diciembre;12;231.415206
2005;Enero;1;209.4504034
2005;Febrero;2;203.7870377
2005;Marzo;3;246.4660584
2005;Abril;4;253.0869445
2005;Mayo;5;274.2812359
2005;Junio;6;261.104397
2005;Julio;7;245.8072461
2005;Agosto;8;241.9239353
2005;Septiembre;9;241.5835447
2005;Octubre;10;278.1504812
2005;Noviembre;11;265.6073989
2005;Diciembre;12;271.574014
2006;Enero;1;248.9039033
2006;Febrero;2;254.7945362
2006;Marzo;3;288.9662407
2006;Abril;4;284.4401746
2006;Mayo;5;361.3910813
2006;Junio;6;310.0966198
2006;Julio;7;302.884908
2006;Agosto;8;332.9421397
2006;Septiembre;9;293.005045
2006;Octubre;10;338.4066097
2006;Noviembre;11;294.6514151
2006;Diciembre;12;299.3305725
2007;Enero;1;287.1009181
2007;Febrero;2;271.9440961
2007;Marzo;3;327.6392188
2007;Abril;4;333.6250507
2007;Mayo;5;392.9364591
2007;Junio;6;356.4731142
2007;Julio;7;381.1517785
2007;Agosto;8;381.4106787
2007;Septiembre;9;326.7512277
2007;Octubre;10;391.1698828
2007;Noviembre;11;340.7976037
2007;Diciembre;12;337.4075889
2008;Enero;1;314.606698
2008;Febrero;2;318.3069703
2008;Marzo;3;340.4594814
2008;Abril;4;385.2524367
2008;Mayo;5;397.9828794
2008;Junio;6;384.331786
2008;Julio;7;409.6671354
2008;Agosto;8;373.536235
2008;Septiembre;9;371.835978
2008;Octubre;10;367.7277396
2008;Noviembre;11;311.6853906
2008;Diciembre;12;339.3378854
2009;Enero;1;290.2403442
2009;Febrero;2;281.9513842
2009;Marzo;3;344.1455775
2009;Abril;4;339.6873091
2009;Mayo;5;332.6033334
2009;Junio;6;348.5777981
2009;Julio;7;365.5510304
2009;Agosto;8;337.4494074
2009;Septiembre;9;332.10367
2009;Octubre;10;327.5231144
2009;Noviembre;11;287.9283385
2009;Diciembre;12;324.5254591
2010;Enero;1;246.1293148
2010;Febrero;2;274.5127003
2010;Marzo;3;369.9532844
2010;Abril;4;344.4089149
2010;Mayo;5;357.0171976
2010;Junio;6;394.2897147
2010;Julio;7;384.6124196
2010;Agosto;8;377.3582858
2010;Septiembre;9;359.3104648
2010;Octubre;10;339.3740629
2010;Noviembre;11;331.3846032
2010;Diciembre;12;348.4331036
2011;Enero;1;283.3481337
2011;Febrero;2;304.6212358
2011;Marzo;3;384.120374
2011;Abril;4;371.2866034
2011;Mayo;5;415.3247084
2011;Junio;6;416.388448
2011;Julio;7;349.8294524
2011;Agosto;8;409.5584064
2011;Septiembre;9;364.7826745
2011;Octubre;10;356.8046037
2011;Noviembre;11;343.4992262
2011;Diciembre;12;378.4680938
2012;Enero;1;305.0905121
2012;Febrero;2;350.3873866
2012;Marzo;3;402.1275655
2012;Abril;4;418.9681109
2012;Mayo;5;451.5580123
2012;Junio;6;432.674847
2012;Julio;7;422.0888342
2012;Agosto;8;441.4011659
2012;Septiembre;9;365.797796
2012;Octubre;10;415.4465235
2012;Noviembre;11;367.9554413
2012;Diciembre;12;409.2324872
2013;Enero;1;357.8721665
2013;Febrero;2;351.1690805
2013;Marzo;3;424.0532334
2013;Abril;4;451.2412198
2013;Mayo;5;476.9903166
2013;Junio;6;417.1950549
